compound_id,source,class,assay,mw,alogp,tpsa,hbd,hba,fsp3,dose_uM,ic50_uM,active
C00033,plant,alkaloid,antibacterial,419.4,2.06,89.20622620836183,4,6,0.36656559720470017,0.22,200.0,False
C00034,plant,saponin,antibacterial,759.7,2.03,,0,4,0.0,2.98,200.0,False
C00035,fungi,flavonoid,antibacterial,409.8,0.02,108.6537910160191,4,8,0.31192117011392007,37.36,200.0,False
C00036,plant,terpene,antibacterial,350.2,3.49,39.45961645975581,4,6,0.6840136537028225,3.83,30.362,False
C00037,plant,alkaloid,anticancer,164.9,3.84,67.87832747391548,2,5,0.34579776899200526,7.03,41.545,False
C00038,plant,alkaloid,antimalarial,371.6,1.82,57.740035061050946,3,7,0.4251228709023177,0.12,84.87,False
C00039,marine,flavonoid,antibacterial,380.3,3.35,91.41516535795887,2,7,0.29466540358241955,1.28,179.505,False
C00040,plant,peptide,anticancer,497.8,0.51,160.47242100179096,3,7,0.30108626779291525,0.3,200.0,False
C00041,plant,alkaloid,antimalarial,415.6,3.73,63.50776523547198,4,6,0.42312573159419076,0.17,87.825,False
C00042,bacteria,peptide,antimalarial,701.7,0.8,178.008216557608,1,5,0.1670665999717954,0.39,200.0,False
C00043,fungi,saponin,antibacterial,723.1,0.85,124.69679566766233,4,5,0.40337471660204366,0.6,200.0,False
C00044,marine,terpene,antimalarial,245.2,5.29,20.62816702619399,4,1,0.10281133943830623,2.24,200.0,False
C00045,fungi,flavonoid,anticancer,332.2,1.29,86.38118321764689,4,2,0.5027862700042094,4.51,102.409,False
C00046,marine,flavonoid,antimalarial,446.7,1.91,92.08238294774516,0,7,0.12004026116459066,2.9,200.0,False
C00047,plant,alkaloid,antimalarial,470.5,3.06,72.2063113342281,0,4,0.5656763193802266,0.92,139.823,False
C00048,fungi,flavonoid,antimalarial,290.5,1.15,138.9955859052302,4,9,0.6373188786476887,0.26,200.0,False
C00049,fungi,peptide,antimalarial,539.3,1.15,152.2948089975163,2,9,0.10910896194822178,2.18,200.0,False
C00050,bacteria,alkaloid,antimalarial,353.8,1.05,49.39815270774725,1,3,0.5689449038307002,26.68,83.829,False
C00051,plant,peptide,antibacterial,797.5,1.05,160.80829107934866,1,6,,26.71,200.0,False
C00052,fungi,polyketide,antibacterial,562.0,1.96,107.30004791510821,0,11,0.6658115461682337,29.5,200.0,False
C00053,plant,alkaloid,antibacterial,249.1,1.51,57.47836208382111,2,4,0.3261701967970441,25.46,40.088,False
C00054,plant,alkaloid,anticancer,387.4,2.03,55.5592012474396,1,6,,3.54,40.297,False
C00055,plant,polyketide,antibacterial,467.2,2.01,91.01051993598236,1,5,0.37354452770317814,2.51,169.943,False
C00056,plant,polyketide,antibacterial,361.4,3.91,88.79703218404956,3,5,0.6834389484745336,0.4,71.465,False
C00057,marine,flavonoid,antimalarial,470.7,2.3,93.92191562924879,1,4,0.04389276073925297,10.27,200.0,False
C00058,plant,peptide,antimalarial,761.2,0.61,,4,5,0.5844973302291667,3.72,200.0,False
C00059,bacteria,alkaloid,anticancer,316.1,2.6,99.16529587382884,0,7,0.4495750016064301,1.22,133.581,False
C00060,fungi,terpene,antibacterial,230.7,4.36,27.696496938037352,6,3,0.3329233299074191,0.15,113.911,False
C00061,fungi,alkaloid,antibacterial,244.6,3.49,62.120530402342446,0,6,0.3829778863700343,0.31,106.298,False
C00062,fungi,polyketide,antibacterial,337.1,4.1,84.09780232016233,3,4,0.6173951977589764,7.18,144.929,False
C00063,fungi,alkaloid,antimalarial,315.0,2.32,30.78921169607789,4,6,0.5954799300668665,2.47,45.392,False
C00064,plant,alkaloid,antibacterial,415.5,3.41,73.24410785126545,2,6,0.7694304011749529,12.49,144.63,False
C00065,plant,polyketide,antimalarial,417.1,0.88,72.76369616581216,4,4,0.3017017905021539,0.2,75.094,False
C00066,plant,terpene,antimalarial,245.2,5.34,22.15310488271971,2,5,0.0514332018572341,6.72,200.0,False
C00067,plant,polyketide,antibacterial,444.7,3.23,43.1533071989984,0,4,0.3192210876949227,23.69,108.0,False
C00068,plant,polyketide,antimalarial,377.2,3.85,104.58824923485936,3,3,0.39101976436519464,0.12,200.0,False
C00069,bacteria,polyketide,antibacterial,502.4,1.75,86.78781849699145,4,7,0.3419592959933162,43.38,200.0,False
C00070,plant,alkaloid,antimalarial,424.2,0.93,100.75403269835265,2,2,0.6740793134192411,0.15,200.0,False
C00071,fungi,polyketide,anticancer,309.4,3.65,93.83200888956486,0,6,0.8856341093294677,9.24,77.87,False
C00072,plant,alkaloid,anticancer,395.4,-0.55,46.29145219754773,2,6,0.5055796358824672,2.76,200.0,False
C00073,bacteria,flavonoid,antimalarial,345.8,0.86,99.60389536688167,3,4,0.072574179779404,0.69,200.0,False
C00074,fungi,terpene,anticancer,303.3,4.54,16.604149443940607,3,7,0.6373555881356281,0.89,60.487,False
C00075,plant,alkaloid,antibacterial,289.3,2.16,114.49396362152126,4,7,0.3003108085368291,0.12,117.307,False
C00076,marine,alkaloid,antibacterial,503.2,2.96,60.02466105816669,3,3,0.4378483653954408,11.14,64.115,False
C00077,bacteria,polyketide,antimalarial,446.3,2.45,150.93774024357933,3,6,0.5972955543902329,0.11,200.0,False
C00078,bacteria,polyketide,antimalarial,447.1,1.98,117.69939719074893,0,6,0.502750573865448,39.32,101.745,False
C00079,fungi,flavonoid,anticancer,455.7,2.09,98.4927134353531,6,4,0.4155003704875862,41.68,200.0,False
C00080,plant,flavonoid,antimalarial,375.1,1.87,127.87090963218714,3,6,0.48646185009598547,18.05,200.0,False
C00081,plant,alkaloid,antibacterial,282.0,2.14,76.3811900652988,4,6,0.5807683498049793,0.22,110.231,False
C00082,bacteria,terpene,antimalarial,516.7,4.78,9.853998646254308,2,4,0.5545645010889755,4.75,200.0,False
C00083,fungi,terpene,antibacterial,130.5,3.09,19.907893379539317,2,1,0.8433244359535611,15.58,88.073,False
C00084,plant,saponin,anticancer,519.8,1.38,111.80293377259686,3,6,0.0,1.24,200.0,False
C00085,bacteria,alkaloid,antibacterial,347.5,1.49,52.306824744505164,5,4,0.2722663783062309,1.39,37.985,False
C00086,fungi,saponin,antibacterial,968.9,2.18,148.85022912290032,5,2,0.3117051915767104,13.84,200.0,False
C00087,fungi,saponin,antibacterial,815.7,1.53,160.77492885934342,3,4,,0.11,200.0,False
C00088,plant,flavonoid,antibacterial,311.1,2.71,160.74032000986983,6,0,0.4730453443663758,1.03,200.0,False
C00089,plant,polyketide,antimalarial,263.0,2.62,79.37715868777558,2,4,0.5990073611116981,18.95,58.576,False
C00090,plant,peptide,antibacterial,409.6,0.23,178.5801236467159,3,8,0.14322018595965696,14.51,200.0,False
C00091,plant,polyketide,antibacterial,477.5,2.51,117.36004241606291,2,0,0.3848196101124721,31.71,200.0,False
C00092,bacteria,flavonoid,antimalarial,382.0,1.18,86.31882025909299,4,6,0.5576667065971149,21.92,200.0,False
C00093,plant,polyketide,anticancer,322.8,1.59,55.6062181042128,3,3,0.4182680014860313,0.35,84.302,False
C00094,fungi,peptide,antibacterial,742.6,1.07,167.56181483253658,4,4,0.3486483614856594,31.49,200.0,False
C00095,plant,alkaloid,antimalarial,265.5,2.92,56.83093490670175,5,3,0.48313092724777457,0.47,43.849,False
C00096,marine,terpene,antibacterial,297.1,3.47,16.999686345630423,0,6,0.7581752297727616,3.07,45.28,False
C00097,plant,alkaloid,antibacterial,431.2,4.43,42.02419731166352,6,5,0.00680418990351217,3.59,169.437,False
C00098,plant,peptide,antibacterial,529.9,1.14,150.51803617742252,3,4,0.7461886641694804,6.46,200.0,False
C00099,plant,polyketide,antibacterial,201.3,5.2,131.31815369111112,2,2,0.48417753588252066,4.75,200.0,False
C00100,plant,alkaloid,anticancer,379.0,2.4,44.7058048695189,0,4,0.25718261855994745,0.42,96.352,False
C00101,bacteria,polyketide,antibacterial,386.6,2.52,,2,7,0.560150378225392,22.17,82.588,False
C00102,fungi,polyketide,antimalarial,424.5,2.23,94.42224625330736,0,3,0.4365565076952254,0.25,171.291,False
C00103,plant,alkaloid,anticancer,405.5,1.77,27.96268512192593,3,6,0.6701872689507471,10.19,38.555,False
C00104,fungi,terpene,antimalarial,279.5,2.42,34.11234803912026,2,6,0.26729709395542384,0.1,28.278,False
C00105,bacteria,polyketide,antimalarial,536.0,3.82,117.08926689676343,5,1,0.6218765273209623,26.07,146.914,False
C00106,plant,flavonoid,antibacterial,393.8,1.52,124.04734805613221,2,7,0.24716753359078197,23.53,200.0,False
C00107,fungi,terpene,antibacterial,374.2,3.61,13.643954216548943,4,5,0.49225623105203464,0.51,62.451,False
C00108,fungi,saponin,antibacterial,818.5,1.93,121.2457990075196,4,9,0.5675857053036978,3.1,200.0,False
C00109,plant,polyketide,anticancer,399.2,2.9,143.30306714128594,6,8,0.4121422957104088,2.02,173.834,False
C00110,fungi,terpene,antibacterial,269.2,3.76,21.188230317706402,2,5,0.5565603268199114,32.87,120.662,False
C00111,marine,alkaloid,antibacterial,357.7,1.65,78.59517635137794,4,5,0.3092467558956601,0.61,187.392,False
C00112,bacteria,alkaloid,anticancer,348.2,4.47,43.27161015412386,0,3,0.6408757927448683,0.16,100.885,False
C00113,plant,peptide,antimalarial,784.3,1.42,221.96780378657897,1,2,0.3278157563097104,1.18,200.0,False
C00114,bacteria,polyketide,antimalarial,592.0,4.3,86.40913065312519,2,7,0.2876629851129191,0.68,200.0,False
C00115,plant,peptide,antibacterial,661.4,1.9,149.07561388657277,2,5,0.40526896495251485,0.51,200.0,False
C00116,marine,terpene,antibacterial,120.0,4.97,32.12592806436437,1,4,0.4181878309951392,12.47,137.268,False
C00117,marine,terpene,anticancer,403.8,2.46,24.26222042732065,2,5,0.26088010824455865,1.09,17.167,False
C00118,plant,terpene,antibacterial,211.9,7.0,30.48770873184707,4,6,0.5879367432525578,0.24,200.0,False
C00119,plant,polyketide,antibacterial,588.6,2.71,70.880648188251,2,7,0.403847658775198,0.32,200.0,False
C00120,marine,flavonoid,anticancer,404.3,1.83,113.05648213181036,2,5,0.5496592838533536,22.3,200.0,False
C00121,plant,terpene,antibacterial,293.6,3.82,33.97104760566572,1,5,0.1299784349917777,1.79,104.525,False
C00122,fungi,terpene,anticancer,189.7,5.48,8.423182860772954,5,5,0.16564767770030725,0.35,200.0,False
C00123,marine,polyketide,antibacterial,554.6,3.32,,5,9,0.3754180879624793,1.95,200.0,False
C00124,fungi,alkaloid,antimalarial,362.8,2.46,66.67463839362013,3,1,0.2301487411121806,0.2,116.531,False
C00125,marine,alkaloid,antimalarial,239.0,3.11,66.05009576271239,2,3,0.4020843243042829,1.98,85.579,False
C00126,plant,alkaloid,antimalarial,412.0,3.72,50.9523475680289,5,6,0.5407599823948691,0.44,70.809,False
C00127,plant,alkaloid,anticancer,407.1,3.58,61.69382295421334,3,5,0.651588582819109,1.08,128.227,False
C00128,plant,peptide,antibacterial,581.4,0.82,174.77113783706739,1,7,0.7225665340281817,32.65,200.0,False
C00129,plant,polyketide,antimalarial,577.3,3.06,100.61925335180251,0,8,0.5858639372305188,2.03,200.0,False
C00130,plant,polyketide,anticancer,481.5,3.14,144.45813908034577,2,9,0.2873890261562374,9.85,200.0,False
C00131,bacteria,terpene,antibacterial,211.4,5.22,21.199096017736107,6,3,0.5387231291947685,0.75,200.0,False
C00132,fungi,alkaloid,antimalarial,328.8,1.58,59.4931118019907,2,6,0.3240464994003308,0.33,93.209,False
C00133,plant,terpene,antimalarial,258.9,0.94,15.582303766729707,7,5,0.5371390206125747,0.87,42.312,False
C00134,plant,peptide,antimalarial,684.4,-0.35,134.42936084666212,2,7,0.21799226786840906,0.37,200.0,False
C00135,bacteria,terpene,antimalarial,366.4,3.65,39.2218437013644,2,5,0.6978339793788289,2.37,81.186,False
C00136,plant,polyketide,antimalarial,392.2,2.76,80.11539223693224,5,7,0.511620439680664,6.58,57.722,False
C00137,bacteria,flavonoid,anticancer,430.1,3.61,102.24046871183819,2,4,0.3716834236731957,0.52,200.0,False
C00138,fungi,alkaloid,anticancer,351.6,3.46,53.308662002452685,3,5,0.15689225977355326,7.92,146.905,False
C00139,fungi,polyketide,antimalarial,510.8,2.87,111.37436769405424,1,4,0.48523260263481144,2.42,171.657,False
C00140,bacteria,terpene,anticancer,365.2,5.74,24.213037384743057,1,5,0.32381134202013906,13.96,200.0,False
C00141,marine,flavonoid,antimalarial,332.6,0.89,122.93722701154582,1,4,0.47929540964655687,11.38,200.0,False
C00142,fungi,flavonoid,antibacterial,401.8,2.23,77.45789778790407,3,3,0.2866109280922172,34.92,117.243,False
C00143,plant,polyketide,antibacterial,542.3,4.64,81.13576515152117,1,7,0.320556910523427,7.13,200.0,False
C00144,bacteria,flavonoid,antibacterial,414.0,1.51,131.31630526096598,0,6,0.5534068297007143,0.15,200.0,False
C00145,plant,terpene,antibacterial,250.7,1.06,30.49859828708671,3,7,0.7248633208108977,0.85,72.457,False
C00146,bacteria,flavonoid,antibacterial,363.8,2.25,115.64916935663128,2,3,0.17628587749450692,1.18,200.0,False
C00147,plant,polyketide,antimalarial,470.5,2.3,118.94135274740592,2,1,0.3903448590101287,22.71,200.0,False
C00148,plant,flavonoid,antimalarial,330.7,2.51,84.46498504005262,2,4,0.5073516548946917,21.91,107.24,False
C00149,fungi,terpene,antimalarial,338.1,4.89,42.79100667135758,0,5,0.398559295711283,0.39,120.209,False
C00150,bacteria,saponin,antibacterial,1063.8,0.73,140.579660437912,5,7,0.34148923525832375,26.6,200.0,False
C00151,plant,polyketide,antimalarial,422.9,2.43,91.94642227646847,2,7,0.8622392238762713,1.31,103.432,False
C00152,marine,polyketide,antibacterial,292.5,2.63,80.26781121856672,3,7,0.2614094578500563,6.58,74.731,False
C00153,fungi,flavonoid,anticancer,329.7,2.12,150.80392797577585,5,8,,6.39,200.0,False
C00154,marine,peptide,antibacterial,508.3,0.94,149.7466305716741,4,6,0.3318294415931789,1.46,200.0,False
C00155,fungi,flavonoid,antibacterial,414.6,2.21,131.78197736425264,3,5,0.41017248831876235,3.29,200.0,False
C00156,bacteria,saponin,antimalarial,694.1,2.67,157.43964797278858,3,4,0.0,1.87,200.0,False
C00157,plant,peptide,antibacterial,635.4,-0.25,173.83312860827155,3,6,0.6069044616333883,6.98,200.0,False
C00158,plant,polyketide,anticancer,513.6,3.54,146.17797778458547,4,4,0.38740514892297223,17.03,200.0,False
C00159,plant,peptide,antimalarial,643.5,0.14,156.73295461453816,3,3,0.2364314407040325,2.92,200.0,False
C00160,plant,terpene,antibacterial,268.6,2.87,21.77755673345138,2,6,0.7621908811183808,23.46,51.539,False
C00161,plant,polyketide,antibacterial,481.7,3.37,110.2168365612591,3,5,0.3742374001916658,2.27,200.0,False
C00162,bacteria,alkaloid,antibacterial,370.4,3.34,61.71229990049442,3,7,0.3069957040030443,0.14,68.608,False
C00163,marine,saponin,antimalarial,789.3,1.11,144.34171867786213,4,4,0.26051452251786167,4.07,200.0,False
C00164,plant,peptide,antibacterial,567.4,1.75,189.17879182460672,3,7,0.643031590571794,0.75,200.0,False
C00165,fungi,alkaloid,antibacterial,446.6,2.99,61.725355094772084,5,6,0.43555543113099116,9.81,47.617,False
C00166,plant,flavonoid,antimalarial,417.1,2.22,139.75557755316927,3,5,0.36783421869137345,0.58,195.811,False
C00167,fungi,terpene,antibacterial,307.0,3.41,26.175945370122037,4,4,0.16490103191525662,5.49,92.345,False
C00168,fungi,polyketide,anticancer,318.7,3.9,39.897854658456254,3,3,0.24914791092221847,0.33,140.898,False
C00169,plant,alkaloid,antimalarial,378.4,3.51,45.19590312647128,2,2,0.4987782782149503,5.63,90.477,False
C00170,bacteria,saponin,anticancer,851.3,1.89,143.67999109012325,1,8,0.42551848359148037,4.21,200.0,False
C00171,plant,flavonoid,anticancer,336.0,1.56,72.75896437559908,2,2,0.027198526229615883,7.39,200.0,False
C00172,fungi,saponin,anticancer,718.9,1.56,76.91494893115562,3,6,0.2549812203392886,0.12,200.0,False
C00173,fungi,polyketide,antibacterial,456.8,1.64,93.14567372206434,4,5,0.47512160576793017,1.65,200.0,False
C00174,plant,terpene,antimalarial,310.4,4.24,29.58993888273327,2,4,0.9664294155086239,10.31,40.396,False
C00175,plant,flavonoid,antibacterial,310.6,1.84,103.05138568323866,2,4,0.27915315361507026,1.61,200.0,False
C00176,plant,alkaloid,antibacterial,355.0,1.94,40.931931797629176,2,5,0.0,0.62,40.898,False
C00177,marine,alkaloid,antibacterial,321.9,2.43,47.831801811419524,4,7,0.5829682873621517,10.81,26.057,False
C00178,marine,polyketide,antibacterial,518.2,3.23,72.89496034606942,3,6,0.3338439535772695,6.74,180.235,False
C00179,marine,polyketide,antibacterial,436.2,2.8,63.949105038547536,2,5,0.16554455872507517,1.57,200.0,False
C00180,plant,saponin,antibacterial,779.2,2.32,135.78652281248324,4,2,0.5424217726634216,18.74,200.0,False
C00181,bacteria,flavonoid,antimalarial,438.9,0.74,96.62123444044362,0,2,0.3832994868544103,6.82,200.0,False
C00182,marine,saponin,antibacterial,943.7,1.27,172.77019702163886,3,9,0.2370348594844159,48.56,200.0,False
C00183,bacteria,flavonoid,antibacterial,299.9,1.74,126.03002098884038,2,3,0.16739055996453733,5.98,200.0,False
C00184,fungi,saponin,antimalarial,798.4,0.77,156.73945142616557,2,2,0.4051309873469652,40.52,200.0,False
C00185,bacteria,saponin,antibacterial,1049.7,0.05,104.51477891339053,1,7,0.447089597248293,9.79,200.0,False
C00186,plant,alkaloid,antimalarial,262.3,1.98,62.79918553609832,4,2,0.07416164392643321,1.64,200.0,False
C00187,plant,peptide,antibacterial,644.0,1.43,172.90674549024754,5,7,0.6268446655744198,0.11,200.0,False
C00188,plant,polyketide,antimalarial,524.2,2.69,82.7930823571632,0,7,0.175966385035201,9.71,103.753,False
C00189,plant,polyketide,antibacterial,521.4,3.13,85.93402770937442,3,6,0.7099324460685363,1.44,200.0,False
C00190,plant,peptide,antimalarial,445.6,0.59,122.18225442925998,3,7,0.4961280149225438,21.45,200.0,False
C00191,plant,terpene,anticancer,347.4,1.73,22.683940313087895,6,2,0.39245857723405414,24.39,99.295,False
C00192,fungi,terpene,antibacterial,249.2,4.2,38.24010459009391,2,3,0.49691556578253004,17.77,83.192,False
C00193,plant,flavonoid,antimalarial,385.2,1.42,144.66960586135076,1,5,0.3112079051151405,3.02,200.0,False
C00194,fungi,peptide,antimalarial,668.5,0.6,89.84063154153105,2,5,0.416701916116635,5.08,200.0,False
C00195,plant,saponin,antibacterial,659.1,1.33,140.80084547319117,6,5,0.7591732814991681,5.39,200.0,False
C00196,fungi,alkaloid,antibacterial,316.7,3.26,82.28225507339334,3,6,0.31554915552351237,1.6,117.787,False
C00197,plant,polyketide,anticancer,301.4,1.02,101.10296430432011,3,4,0.5932160912769461,1.22,200.0,False
C00198,plant,flavonoid,antibacterial,337.1,1.81,61.23632656992561,5,1,0.25031669224645237,43.77,29.949,False
C00199,bacteria,alkaloid,antimalarial,356.8,1.85,83.62883849057445,0,6,,0.1,99.549,False
C00200,fungi,alkaloid,antimalarial,337.4,2.89,65.77081492161605,0,5,0.6226400658740487,22.03,19.256,False
C00201,marine,terpene,anticancer,287.5,3.19,33.76584203542299,4,7,,0.23,102.466,False
C00202,fungi,flavonoid,antibacterial,289.9,2.57,110.51831118373215,4,9,0.4969934862808518,0.2,200.0,False
C00203,fungi,flavonoid,antimalarial,383.4,2.3,106.77569990555627,0,5,0.0,12.0,200.0,False
C00204,plant,alkaloid,antimalarial,357.1,1.41,75.54953692578817,3,6,0.20047505421281303,0.11,200.0,False
C00205,fungi,flavonoid,anticancer,367.8,2.37,135.5663175668575,3,3,0.346201858721159,6.1,200.0,False
C00206,plant,polyketide,antibacterial,417.3,3.24,,3,7,0.6063579885711491,0.45,84.07,False
C00207,marine,alkaloid,antibacterial,397.3,2.38,62.81418209683918,1,6,0.573238767833788,20.78,94.683,False
C00208,bacteria,terpene,antimalarial,315.3,3.07,35.64786143210115,2,6,0.24700160668370558,3.35,160.575,False
C00209,bacteria,polyketide,antimalarial,494.8,3.11,44.78632540429467,1,7,0.4035853960035036,0.42,74.965,False
C00210,plant,alkaloid,antibacterial,378.8,2.14,77.98687969661967,3,3,0.4670507986906074,3.77,128.166,False
C00211,plant,flavonoid,antimalarial,448.9,2.85,108.95984878813,2,6,0.11706374650013313,9.52,200.0,False
C00212,plant,saponin,antimalarial,837.9,0.62,156.9526401105003,5,6,0.514537187510039,19.54,200.0,False
C00213,plant,saponin,anticancer,532.2,2.0,119.74668735669897,3,8,0.7000096028374205,0.11,200.0,False
C00214,fungi,peptide,antibacterial,415.5,0.98,205.319786723555,0,1,0.6785811855857529,31.42,200.0,False
C00215,marine,alkaloid,antimalarial,369.2,2.39,62.8860787350325,3,5,0.31163866161386267,16.91,52.163,False
C00216,plant,polyketide,antibacterial,537.4,1.55,84.18594876570756,5,9,0.3482375843083027,0.42,200.0,False
C00217,bacteria,terpene,antibacterial,305.1,4.81,25.907634773972706,3,4,0.24269700085934942,4.22,200.0,False
C00218,marine,alkaloid,antibacterial,392.0,2.63,66.98064591190509,4,4,0.3307767487315826,2.6,33.499,False
C00219,plant,terpene,anticancer,234.6,7.0,21.912298832060234,2,9,,4.33,200.0,False
C00220,marine,saponin,antibacterial,777.8,2.73,169.18529057800828,4,10,0.5662429794230716,0.46,200.0,False
C00221,bacteria,peptide,anticancer,678.1,-0.18,150.1167178711505,1,5,0.4463714033966754,31.07,200.0,False
C00222,plant,flavonoid,antibacterial,490.3,0.19,77.45774144086292,4,4,0.24421433410892374,8.07,200.0,False
C00223,fungi,alkaloid,antibacterial,363.9,2.32,56.5030537402333,0,4,0.5938125010537749,3.39,15.994,False
C00224,fungi,saponin,antibacterial,668.1,-0.21,124.91076037127911,4,4,0.60603182855795,36.22,200.0,False
C00225,fungi,saponin,antibacterial,1055.8,0.54,,0,3,0.30780648266411137,1.0,200.0,False
C00226,plant,terpene,anticancer,434.8,4.38,21.787803501280237,0,3,0.38055242186916743,2.83,199.262,False
C00227,fungi,flavonoid,anticancer,367.9,2.34,105.02590639939271,3,5,0.4094602665410047,5.11,200.0,False
C00228,fungi,terpene,anticancer,261.3,4.63,21.68824424103074,2,5,0.10111024813309755,4.62,181.06,False
C00229,marine,polyketide,antibacterial,586.1,2.88,126.24099873154802,3,6,0.45703314441073495,0.8,200.0,False
C00230,marine,terpene,antibacterial,358.1,3.91,8.651752447345537,3,5,0.5645014567417674,4.04,29.629,False
C00231,plant,flavonoid,antimalarial,428.3,1.99,83.49399951766965,2,3,0.8194592763146696,1.43,157.053,False
C00232,marine,flavonoid,anticancer,429.2,1.93,90.10565507513952,1,6,0.46847701510809187,9.17,160.946,False
C00233,bacteria,flavonoid,antibacterial,351.2,1.01,111.07793106635323,3,6,0.3730525946922637,0.96,200.0,False
C00234,bacteria,alkaloid,anticancer,350.9,2.28,60.80825873173487,3,4,0.4005772201413719,1.64,42.084,False
C00235,plant,flavonoid,antibacterial,334.1,2.43,97.70145972225036,3,5,0.5524307390248446,3.9,129.302,False
C00236,plant,saponin,anticancer,939.8,1.82,145.66719149250036,6,6,0.589492496256308,0.32,200.0,False
C00237,fungi,alkaloid,antimalarial,380.9,0.43,90.25938449834672,1,5,0.25849106153226176,2.98,200.0,False
C00238,plant,polyketide,anticancer,257.8,4.51,59.50902333364056,3,5,0.4687767058714442,23.59,200.0,False
C00239,fungi,peptide,anticancer,656.6,1.37,222.24089908806212,3,7,0.5610825684313432,7.54,200.0,False
C00240,bacteria,flavonoid,antibacterial,457.4,2.88,117.13702225232,2,7,0.028755564519707122,2.24,200.0,False
C00241,plant,terpene,antimalarial,314.1,3.1,29.1096778464881,1,4,0.7047112828045207,0.22,62.26,False
C00242,plant,flavonoid,antibacterial,359.0,2.79,71.19211663650029,2,5,0.38775273504241564,3.56,78.31,False
C00243,plant,polyketide,antimalarial,440.4,2.59,118.4849816168446,4,3,0.6047838706104336,1.3,200.0,False
C00244,fungi,polyketide,antibacterial,517.6,3.56,113.73262794514618,2,5,0.4213766084617775,1.03,200.0,False
C00245,plant,polyketide,antibacterial,567.8,2.75,86.76366181984423,3,6,0.38149876752364836,8.63,200.0,False
